Pavarde          Vardas           ND1       ND2       ND3       ND4       ND5       Egzaminas
Pavarde1         Vardas1          6         9         8         9         5         5
Pavarde2         Vardas2          8         8         5         9         8         10
Pavarde3         Vardas3          2         3         4         3         6         5
Pavarde4         Vardas4          4         6         7         3         8         4
Pavarde5         Vardas5          10        1         5         2         5         4
Pavarde6         Vardas6          5         9         7         10        1         6
Pavarde7         Vardas7          6         3         1         2         1         10
Pavarde8         Vardas8          3         5         9         1         10        3
Pavarde9         Vardas9          3         7         3         10        7         1
Pavarde10        Vardas10         5         2         1         1         10        10
Pavarde11        Vardas11         3         7         3         8         9         8
Pavarde12        Vardas12         6         5         2         7         5         1
Pavarde13        Vardas13         1         6         2         5         5         9
Pavarde14        Vardas14         5         9         8         7         5         5
Pavarde15        Vardas15         5         1         5         7         1         7
Pavarde16        Vardas16         9         2         7         8         2         6
Pavarde17        Vardas17         6         10        3         8         5         7
Pavarde18        Vardas18         4         9         5         8         6         6
Pavarde19        Vardas19         6         2         3         6         1         4
Pavarde20        Vardas20         3         4         8         7         8         3
Pavarde21        Vardas21         1         6         9         3         9         10
Pavarde22        Vardas22         5         5         6         6         8         7
Pavarde23        Vardas23         8         8         4         10        3         3
Pavarde24        Vardas24         6         2         7         10        6         1
Pavarde25        Vardas25         8         4         2         9         7         9
Pavarde26        Vardas26         4         8         7         1         8         10
Pavarde27        Vardas27         4         5         5         3         4         4
Pavarde28        Vardas28         6         7         9         9         7         5
Pavarde29        Vardas29         7         1         9         7         1         5
Pavarde30        Vardas30         5         4         9         5         6         2
Pavarde31        Vardas31         5         1         9         9         2         8
Pavarde32        Vardas32         4         10        6         7         7         1
Pavarde33        Vardas33         2         4         3         7         4         3
Pavarde34        Vardas34         6         4         10        5         10        6
Pavarde35        Vardas35         5         9         3         7         7         10
Pavarde36        Vardas36         3         5         7         8         6         2
Pavarde37        Vardas37         7         2         2         2         7         3
Pavarde38        Vardas38         10        8         9         4         1         9
Pavarde39        Vardas39         5         10        9         10        3         7
Pavarde40        Vardas40         10        5         2         6         7         4
Pavarde41        Vardas41         8         4         8         2         4         7
Pavarde42        Vardas42         8         2         8         9         10        4
Pavarde43        Vardas43         9         5         6         1         2         2
Pavarde44        Vardas44         10        4         7         7         1         9
Pavarde45        Vardas45         7         4         6         9         7         2
Pavarde46        Vardas46         2         4         8         1         3         8
Pavarde47        Vardas47         3         3         3         8         7         4
Pavarde48        Vardas48         4         3         7         2         1         7
Pavarde49        Vardas49         6         9         9         6         1         4
Pavarde50        Vardas50         10        4         1         1         1         8
Pavarde51        Vardas51         5         2         7         8         1         6
Pavarde52        Vardas52         1         4         7         3         4         8
Pavarde53        Vardas53         1         9         6         3         3         10
Pavarde54        Vardas54         4         9         2         1         8         9
Pavarde55        Vardas55         4         1         9         5         4         1
Pavarde56        Vardas56         7         10        1         7         3         8
Pavarde57        Vardas57         7         7         3         2         1         8
Pavarde58        Vardas58         2         9         2         9         5         4
Pavarde59        Vardas59         8         7         1         5         1         2
Pavarde60        Vardas60         6         10        5         8         4         6
Pavarde61        Vardas61         8         7         10        7         7         6
Pavarde62        Vardas62         8         4         7         9         4         5
Pavarde63        Vardas63         10        2         10        9         1         10
Pavarde64        Vardas64         4         1         4         7         9         9
Pavarde65        Vardas65         5         10        9         9         8         1
Pavarde66        Vardas66         9         2         1         6         4         8
Pavarde67        Vardas67         2         7         10        1         10        7
Pavarde68        Vardas68         2         7         2         10        3         9
Pavarde69        Vardas69         5         9         8         2         4         4
Pavarde70        Vardas70         5         7         4         10        9         8
Pavarde71        Vardas71         7         9         4         8         2         4
Pavarde72        Vardas72         1         10        5         3         4         4
Pavarde73        Vardas73         9         2         3         7         3         2
Pavarde74        Vardas74         7         5         2         4         1         8
Pavarde75        Vardas75         8         2         1         10        1         1
Pavarde76        Vardas76         1         5         2         1         9         1
Pavarde77        Vardas77         6         6         8         10        6         2
Pavarde78        Vardas78         3         2         7         5         4         10
Pavarde79        Vardas79         2         7         3         5         3         3
Pavarde80        Vardas80         9         2         1         7         4         10
Pavarde81        Vardas81         2         8         5         3         4         1
Pavarde82        Vardas82         3         8         1         1         8         10
Pavarde83        Vardas83         1         7         9         10        9         9
Pavarde84        Vardas84         1         6         2         10        3         6
Pavarde85        Vardas85         2         1         4         8         1         10
Pavarde86        Vardas86         6         3         4         2         3         6
Pavarde87        Vardas87         2         10        7         10        5         7
Pavarde88        Vardas88         1         6         10        1         1         5
Pavarde89        Vardas89         5         4         10        10        7         5
Pavarde90        Vardas90         4         4         1         3         6         5
Pavarde91        Vardas91         2         2         6         3         10        3
Pavarde92        Vardas92         9         6         3         7         4         8
Pavarde93        Vardas93         3         3         10        1         6         3
Pavarde94        Vardas94         9         7         9         9         6         8
Pavarde95        Vardas95         2         8         9         3         6         7
Pavarde96        Vardas96         7         1         4         6         1         8
Pavarde97        Vardas97         3         9         2         5         3         7
Pavarde98        Vardas98         7         8         5         3         3         8
Pavarde99        Vardas99         6         9         3         5         3         4
Pavarde100       Vardas100        1         1         9         8         5         10
